Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-234908.16	469826.32	6099446.51	64322.24	2.9045,2.9219,0.2674,0.963,1.0875
asym_mig	Round_1_Replicate_2	-106996.33	214002.66	220309.27	227734.44	0.1635,0.2343,1.3856,0.1903,0.2575
asym_mig	Round_1_Replicate_3	-316066.2	632142.4	20843358.79	88259.02	1.4559,2.8173,1.3352,1.9902,0.6188
asym_mig	Round_1_Replicate_4	-178167.51	356345.02	830142.46	102889.89	0.2313,2.4936,0.3998,0.871,1.5863
asym_mig	Round_1_Replicate_5	-283552.58	567115.16	1539912.12	154641.07	1.9706,0.1974,1.0148,1.1726,0.1023
asym_mig	Round_1_Replicate_6	-91437.8	182885.6	324529.59	138392.8	0.1773,2.8821,1.9963,0.5302,0.2161
asym_mig	Round_1_Replicate_7	-165577.02	331164.04	2307620.5	105416.55	1.1687,2.8746,0.2105,0.7577,0.3576
asym_mig	Round_1_Replicate_8	-54921.69	109853.38	138015.48	156672.1	0.1914,1.0976,1.1313,0.121,0.1635
asym_mig	Round_1_Replicate_9	-96370.65	192751.3	222267.46	205763.84	0.1812,0.1547,0.1407,1.9567,0.09
asym_mig	Round_1_Replicate_10	-198589.65	397189.3	1632933.25	131171.62	0.2168,2.97,0.7041,1.98,1.98
asym_mig	Round_2_Replicate_1	-26655.23	53320.46	56917.17	130689.98	0.5989,0.8058,0.3263,0.2673,0.4899
asym_mig	Round_2_Replicate_2	-82293.33	164596.66	164435.18	186561.25	0.275,0.3904,1.3993,0.0486,0.4769
asym_mig	Round_2_Replicate_3	-34645.72	69301.44	97330.6	123146.35	0.4027,1.4786,0.7177,0.4336,0.4889
asym_mig	Round_2_Replicate_4	-23745.66	47501.32	52081.78	139578.83	0.4156,0.9405,0.2952,0.4338,0.3664
asym_mig	Round_2_Replicate_5	-40721.01	81452.02	83684.24	168687.54	0.2039,0.6435,0.2544,0.0323,0.1626
asym_mig	Round_2_Replicate_6	-44176.55	88363.1	84552.73	178713.93	0.1882,0.5186,1.8566,0.254,0.2332
asym_mig	Round_2_Replicate_7	-77076.75	154163.5	244061.27	152815.59	0.1939,1.6223,0.9589,0.0258,0.1279
asym_mig	Round_2_Replicate_8	-44160.8	88331.6	129715.47	115735.29	0.2907,2.0289,1.7671,0.0305,0.5214
asym_mig	Round_2_Replicate_9	-56603.01	113216.02	147056.86	114815.86	0.6916,1.046,1.0917,0.0494,0.6945
asym_mig	Round_2_Replicate_10	-101915.61	203841.22	345990.13	153624.9	0.1332,2.7799,1.9972,0.1624,0.108
asym_mig	Round_3_Replicate_1	-19267.66	38545.32	43334.01	122982.09	0.5221,1.1384,0.349,0.2022,0.5309
asym_mig	Round_3_Replicate_2	-19267.57	38545.14	43335.98	123156.7	0.5227,1.1362,0.3433,0.2046,0.5271
asym_mig	Round_3_Replicate_3	-19266.79	38543.58	43280.0	123263.79	0.5215,1.1344,0.3458,0.2011,0.5262
asym_mig	Round_3_Replicate_4	-19373.58	38757.16	43824.85	122178.56	0.5153,1.1498,0.3906,0.2266,0.5556
asym_mig	Round_3_Replicate_5	-19301.54	38613.08	43002.01	124764.93	0.5179,1.1077,0.3238,0.1953,0.5058
asym_mig	Round_4_Replicate_1	-19351.39	38712.78	42642.78	125940.34	0.4964,1.0886,0.381,0.187,0.5085
asym_mig	Round_4_Replicate_2	-19266.79	38543.58	43280.21	123253.07	0.5218,1.1342,0.3458,0.2018,0.5264
asym_mig	Round_4_Replicate_3	-19303.48	38616.96	43363.14	122851.55	0.5323,1.1365,0.3435,0.1916,0.5239
asym_mig	Round_4_Replicate_4	-19267.29	38544.58	43329.31	123001.82	0.5231,1.1376,0.3482,0.2025,0.5298
asym_mig	Round_4_Replicate_5	-19266.78	38543.56	43281.5	123259.33	0.5217,1.1344,0.3458,0.2014,0.5262
