Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m,T1,T2)
sec_contact_sym_mig	Round_1_Replicate_1	-323894.56	647799.12	1253639.98	126541.82	2.6627,0.2296,0.2431,0.0771,0.2794
sec_contact_sym_mig	Round_1_Replicate_2	-134038.79	268087.58	289336.71	120090.1	0.3742,0.423,1.1199,1.9161,0.3332
sec_contact_sym_mig	Round_1_Replicate_3	-225513.35	451036.7	2695244.8	53160.41	2.8173,1.5682,0.7002,0.6575,1.9902
sec_contact_sym_mig	Round_1_Replicate_4	-647443.49	1294896.98	6419137.92	94402.74	2.727,0.1633,0.1225,0.4705,0.6858
sec_contact_sym_mig	Round_1_Replicate_5	-100112.88	200235.76	411204.09	49649.26	2.6132,2.8746,0.2643,1.1609,1.022
sec_contact_sym_mig	Round_1_Replicate_6	-688435.05	1376880.1	3817395.9	146231.53	0.2078,0.1901,0.2193,1.9422,0.1338
sec_contact_sym_mig	Round_1_Replicate_7	-179808.6	359627.2	493636.87	143097.14	0.8492,0.3006,0.3135,0.0842,0.5411
sec_contact_sym_mig	Round_1_Replicate_8	-116854.93	233719.86	276729.78	202213.72	0.3908,0.2422,1.7353,0.2141,0.7798
sec_contact_sym_mig	Round_1_Replicate_9	-152689.71	305389.42	1232909.34	96504.63	0.3481,2.0394,1.8272,0.9596,0.434
sec_contact_sym_mig	Round_1_Replicate_10	-267891.05	535792.1	8836930.92	103295.97	2.8746,2.5196,0.0742,0.0671,0.2239
sec_contact_sym_mig	Round_2_Replicate_1	-39754.12	79518.24	80950.54	118557.89	0.5158,0.7436,0.6711,0.3305,1.3192
sec_contact_sym_mig	Round_2_Replicate_2	-44627.65	89265.3	125551.86	72754.31	1.2601,2.861,0.0958,0.5992,0.5176
sec_contact_sym_mig	Round_2_Replicate_3	-70030.89	140071.78	228095.7	51207.02	0.7858,2.8596,0.1779,1.992,1.9995
sec_contact_sym_mig	Round_2_Replicate_4	-53382.96	106775.92	171219.1	51451.85	1.7727,2.9923,0.1221,0.461,1.9585
sec_contact_sym_mig	Round_2_Replicate_5	-55893.98	111797.96	141367.67	100641.65	1.1516,1.0212,1.0201,0.7005,0.0899
sec_contact_sym_mig	Round_2_Replicate_6	-76700.28	153410.56	201592.52	96481.41	1.2018,0.8226,0.4783,0.8256,0.2963
sec_contact_sym_mig	Round_2_Replicate_7	-48418.64	96847.28	115132.47	70225.91	1.0848,1.2006,0.3193,1.1766,1.8232
sec_contact_sym_mig	Round_2_Replicate_8	-50758.93	101527.86	141250.44	125427.71	0.3968,1.0985,0.9918,0.2766,0.4948
sec_contact_sym_mig	Round_2_Replicate_9	-85357.66	170725.32	338519.25	73473.7	2.115,2.9128,0.0616,0.4757,0.367
sec_contact_sym_mig	Round_2_Replicate_10	-83281.37	166572.74	318216.3	37994.29	2.8536,2.9907,0.0925,2.0,1.9952
sec_contact_sym_mig	Round_3_Replicate_1	-38130.88	76271.76	76075.04	118124.84	0.4303,0.8303,0.6994,0.0524,1.9426
sec_contact_sym_mig	Round_3_Replicate_2	-23487.91	46985.82	53661.92	111836.24	0.6046,1.0773,0.3841,0.0103,0.8867
sec_contact_sym_mig	Round_3_Replicate_3	-28218.06	56446.12	71426.36	91242.23	0.9804,1.6257,0.1827,0.0124,0.8981
sec_contact_sym_mig	Round_3_Replicate_4	-22267.27	44544.54	51043.46	111985.81	0.6765,1.1092,0.3254,0.0199,0.7237
sec_contact_sym_mig	Round_3_Replicate_5	-26193.57	52397.14	64464.24	98718.8	0.6766,1.2741,0.3505,0.0102,1.1787
sec_contact_sym_mig	Round_4_Replicate_1	-19728.38	39466.76	44719.73	123192.93	0.5497,1.1365,0.2039,0.0219,0.4793
sec_contact_sym_mig	Round_4_Replicate_2	-24088.71	48187.42	54695.75	134197.06	0.5143,0.9902,0.0323,0.3125,0.0255
sec_contact_sym_mig	Round_4_Replicate_3	-19445.35	38900.7	43645.52	123593.25	0.5436,1.098,0.2625,0.0107,0.5135
sec_contact_sym_mig	Round_4_Replicate_4	-19175.7	38361.4	43535.61	122199.23	0.5481,1.1409,0.311,0.2716,0.2556
sec_contact_sym_mig	Round_4_Replicate_5	-19439.67	38889.34	43629.45	123566.03	0.5436,1.0978,0.2639,0.0357,0.4894
