Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-184433.19	368874.38	578483.79	98628.44	0.4424,1.072,0.0922,1.9299
sym_mig	Round_1_Replicate_2	-127529.67	255067.34	801247.09	125729.21	0.2797,3.6129,1.3417,0.3232
sym_mig	Round_1_Replicate_3	-136184.49	272376.98	833679.91	142007.55	0.2195,2.7578,1.8306,0.2094
sym_mig	Round_1_Replicate_4	-192867.36	385742.72	1160226.87	60564.41	0.4744,4.8308,0.1024,1.9991
sym_mig	Round_1_Replicate_5	-188236.29	376480.58	2295599.58	103184.39	1.9745,1.3332,0.614,0.4111
sym_mig	Round_1_Replicate_6	-353709.79	707427.58	13737420.71	131614.79	3.711,0.5513,1.9927,0.1617
sym_mig	Round_1_Replicate_7	-55717.18	111442.36	111587.16	191654.92	0.1891,0.5139,1.2971,0.7622
sym_mig	Round_1_Replicate_8	-441248.66	882505.32	91818790.0	106282.72	4.4122,4.4568,0.2169,0.2239
sym_mig	Round_1_Replicate_9	-93723.8	187455.6	186108.35	167646.37	0.2947,0.4326,0.4713,1.2714
sym_mig	Round_1_Replicate_10	-171457.32	342922.64	2080311.53	68808.37	2.3568,3.6129,0.342,0.8897
sym_mig	Round_2_Replicate_1	-51990.04	103988.08	99281.26	203542.0	0.2079,0.4157,1.3929,0.7855
sym_mig	Round_2_Replicate_2	-44320.75	88649.5	85664.73	160771.58	0.2936,0.5728,1.0785,1.5304
sym_mig	Round_2_Replicate_3	-92194.14	184396.28	288417.32	145182.72	0.1955,1.0773,1.5131,1.9417
sym_mig	Round_2_Replicate_4	-24847.76	49703.52	50550.52	142493.54	0.4334,0.7243,0.3902,0.4963
sym_mig	Round_2_Replicate_5	-31944.01	63896.02	64148.65	161308.32	0.2708,0.6865,0.3379,0.2282
sym_mig	Round_2_Replicate_6	-108623.68	217255.36	513684.5	113908.47	0.2689,1.6195,1.4593,1.9442
sym_mig	Round_2_Replicate_7	-40047.6	80103.2	78136.23	170393.21	0.2707,0.5412,1.0068,0.3296
sym_mig	Round_2_Replicate_8	-63941.73	127891.46	177098.22	155326.96	0.2301,0.9965,1.1638,0.2537
sym_mig	Round_2_Replicate_9	-80629.26	161266.52	163039.07	354014.28	0.1245,0.1709,1.9847,0.7515
sym_mig	Round_2_Replicate_10	-48864.62	97737.24	101457.29	143648.6	0.3071,0.7223,1.1023,1.8778
sym_mig	Round_3_Replicate_1	-19445.85	38899.7	43658.79	123511.85	0.5443,1.0989,0.2623,0.525
sym_mig	Round_3_Replicate_2	-19445.94	38899.88	43689.73	123422.13	0.5449,1.1009,0.2624,0.5256
sym_mig	Round_3_Replicate_3	-19445.92	38899.84	43637.25	123596.59	0.5436,1.0974,0.2627,0.5244
sym_mig	Round_3_Replicate_4	-19445.9	38899.8	43669.04	123477.93	0.5445,1.0994,0.2627,0.5254
sym_mig	Round_3_Replicate_5	-25705.52	51419.04	59227.14	111295.78	0.6019,1.0811,0.4731,0.9353
sym_mig	Round_4_Replicate_1	-19445.86	38899.72	43655.91	123530.46	0.5441,1.0986,0.2627,0.5249
sym_mig	Round_4_Replicate_2	-19445.85	38899.7	43661.71	123501.05	0.5444,1.0991,0.2624,0.5251
sym_mig	Round_4_Replicate_3	-19445.85	38899.7	43661.25	123500.54	0.5444,1.0991,0.2624,0.5251
sym_mig	Round_4_Replicate_4	-19445.96	38899.92	43652.56	123565.42	0.544,1.0985,0.262,0.5241
sym_mig	Round_4_Replicate_5	-19445.85	38899.7	43663.72	123491.8	0.5445,1.0992,0.2624,0.5252
