Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-70784.99	141575.98	155188.13	196565.39	0.202,0.2455,0.131
no_mig	Round_1_Replicate_2	-1511069.38	3022144.76	1.05321139296e+16	114890.54	0.0808,0.8054,1.9744
no_mig	Round_1_Replicate_3	-39524.24	79054.48	82423.06	167526.47	0.2228,0.6353,0.1808
no_mig	Round_1_Replicate_4	-192247.65	384501.3	1143253.37	143985.4	1.3941,0.4406,0.1351
no_mig	Round_1_Replicate_5	-361037.22	722080.44	4450750.96	81259.64	0.4879,2.1683,1.5768
no_mig	Round_1_Replicate_6	-100767.98	201541.96	290524.43	140295.83	0.9674,0.5203,0.222
no_mig	Round_1_Replicate_7	-448825.86	897657.72	4954493.9	134807.75	0.5331,0.4695,1.1257
no_mig	Round_1_Replicate_8	-102707.84	205421.68	306495.15	161051.18	0.1169,2.0475,0.0908
no_mig	Round_1_Replicate_9	-74629.49	149264.98	237986.76	69990.83	1.8317,3.5107,0.9426
no_mig	Round_1_Replicate_10	-141753.3	283512.6	674705.97	85934.37	0.6147,2.4051,1.0734
no_mig	Round_2_Replicate_1	-24402.71	48811.42	58396.04	130815.12	0.5083,1.0996,0.365
no_mig	Round_2_Replicate_2	-40171.52	80349.04	80820.13	172937.46	0.2181,0.5275,0.1629
no_mig	Round_2_Replicate_3	-50854.37	101714.74	147491.98	131721.36	0.336,2.2711,0.2486
no_mig	Round_2_Replicate_4	-43903.3	87812.6	87431.87	173639.01	0.2045,0.5157,0.1309
no_mig	Round_2_Replicate_5	-27470.2	54946.4	68461.72	119359.92	0.6786,1.1952,0.4556
no_mig	Round_2_Replicate_6	-32309.62	64625.24	65209.06	162065.99	0.2842,0.6401,0.1972
no_mig	Round_2_Replicate_7	-29385.81	58777.62	71221.07	136349.21	0.4921,0.8826,0.3765
no_mig	Round_2_Replicate_8	-36062.56	72131.12	72068.56	165127.11	0.3121,0.5267,0.1842
no_mig	Round_2_Replicate_9	-28520.21	57046.42	62635.61	147660.78	0.3377,0.9503,0.2401
no_mig	Round_2_Replicate_10	-34067.92	68141.84	98213.43	113666.64	0.604,2.0891,0.4026
no_mig	Round_3_Replicate_1	-23924.05	47854.1	55960.96	132201.64	0.5041,1.0943,0.341
no_mig	Round_3_Replicate_2	-23924.05	47854.1	55960.35	132203.07	0.5041,1.0942,0.341
no_mig	Round_3_Replicate_3	-23924.05	47854.1	55961.02	132202.06	0.5041,1.0943,0.341
no_mig	Round_3_Replicate_4	-23924.05	47854.1	55959.81	132204.2	0.5041,1.0942,0.341
no_mig	Round_3_Replicate_5	-23924.05	47854.1	55961.02	132201.71	0.5041,1.0943,0.341
no_mig	Round_4_Replicate_1	-23924.05	47854.1	55961.15	132201.47	0.5041,1.0943,0.341
no_mig	Round_4_Replicate_2	-23924.05	47854.1	55961.17	132201.2	0.5041,1.0943,0.341
no_mig	Round_4_Replicate_3	-23924.05	47854.1	55960.74	132201.97	0.5041,1.0943,0.341
no_mig	Round_4_Replicate_4	-23924.05	47854.1	55959.64	132205.15	0.5041,1.0942,0.341
no_mig	Round_4_Replicate_5	-23924.05	47854.1	55961.01	132201.65	0.5041,1.0943,0.341
