Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m12,m21,T1,T2)
sec_contact_asym_mig	Round_1_Replicate_1	-371523.98	743059.96	2176941.96	113192.24	1.73,0.3336,1.2035,0.2495,0.4405,1.2924
sec_contact_asym_mig	Round_1_Replicate_2	-137109.48	274230.96	384828.12	95545.28	0.9662,0.8471,0.884,0.1042,1.2506,0.1913
sec_contact_asym_mig	Round_1_Replicate_3	-111055.83	222123.66	473249.62	54326.75	2.8255,2.9299,0.2496,0.0961,0.3853,1.2571
sec_contact_asym_mig	Round_1_Replicate_4	-93714.66	187441.32	286397.49	70600.16	1.5081,1.2133,0.4092,0.1634,0.2868,1.9465
sec_contact_asym_mig	Round_1_Replicate_5	-43915.47	87842.94	82433.79	121935.91	0.2391,0.924,1.9135,0.2596,1.4193,0.8945
sec_contact_asym_mig	Round_1_Replicate_6	-412755.13	825522.26	1892078.87	142222.45	0.558,0.2319,0.7399,0.0838,1.1067,0.4232
sec_contact_asym_mig	Round_1_Replicate_7	-185728.0	371468.0	2658148.45	81467.83	2.6961,2.2856,0.1235,0.7244,0.1926,0.4411
sec_contact_asym_mig	Round_1_Replicate_8	-77255.82	154523.64	144883.08	197651.33	0.1942,0.4429,1.4809,0.1848,0.11,0.9557
sec_contact_asym_mig	Round_1_Replicate_9	-71675.86	143363.72	153887.68	222453.19	0.3087,0.2595,1.2785,1.9465,0.0931,1.1511
sec_contact_asym_mig	Round_1_Replicate_10	-239796.64	479605.28	6889716.45	74263.15	2.8255,1.5858,0.0665,1.9632,0.1458,0.8409
sec_contact_asym_mig	Round_2_Replicate_1	-95858.07	191728.14	197816.0	161019.39	0.2774,0.3486,0.9278,0.7939,1.2483,0.8725
sec_contact_asym_mig	Round_2_Replicate_2	-51059.48	102130.96	94827.09	162393.15	0.2014,0.5892,1.9877,0.31,1.9495,1.413
sec_contact_asym_mig	Round_2_Replicate_3	-45521.53	91055.06	95684.17	83360.95	0.2531,1.7992,1.9795,0.1194,1.8905,0.626
sec_contact_asym_mig	Round_2_Replicate_4	-69690.79	139393.58	222431.97	58409.09	0.5965,2.789,1.4387,0.0751,1.6512,1.9388
sec_contact_asym_mig	Round_2_Replicate_5	-33492.3	66996.6	70447.82	103865.36	0.4819,1.0442,0.6819,0.3221,0.3643,1.4291
sec_contact_asym_mig	Round_2_Replicate_6	-45213.53	90439.06	87993.67	88884.43	0.5173,1.1123,0.9942,0.2888,1.5301,1.6726
sec_contact_asym_mig	Round_2_Replicate_7	-42151.65	84315.3	82248.36	107215.7	0.2268,1.1866,1.9609,0.1424,1.963,1.1714
sec_contact_asym_mig	Round_2_Replicate_8	-44386.06	88784.12	88164.62	99307.11	0.2105,1.3837,1.9795,0.0533,1.9122,0.7978
sec_contact_asym_mig	Round_2_Replicate_9	-72774.73	145561.46	278062.71	64434.57	0.631,2.9834,1.16,0.17,0.5884,1.5754
sec_contact_asym_mig	Round_2_Replicate_10	-99175.61	198363.22	370142.24	86272.02	0.3088,1.8747,1.821,0.8297,0.7238,1.8691
sec_contact_asym_mig	Round_3_Replicate_1	-20431.79	40875.58	46588.01	123540.27	0.4885,1.2594,0.4391,0.0276,0.0992,0.3671
sec_contact_asym_mig	Round_3_Replicate_2	-21148.56	42309.12	46797.59	122683.61	0.539,1.0118,0.2918,0.3995,0.0359,0.6112
sec_contact_asym_mig	Round_3_Replicate_3	-26091.96	52195.92	58487.58	109264.29	0.4251,1.3293,0.9234,0.1479,0.0255,0.9806
sec_contact_asym_mig	Round_3_Replicate_4	-26005.69	52023.38	65726.42	94033.79	0.6059,1.7084,0.5602,0.1009,0.1096,0.9609
sec_contact_asym_mig	Round_3_Replicate_5	-20753.57	41519.14	47598.55	116737.39	0.6134,1.107,0.308,0.367,0.0471,0.612
sec_contact_asym_mig	Round_4_Replicate_1	-20454.06	40920.12	46073.64	123881.96	0.469,1.2382,0.4896,0.0299,0.0825,0.404
sec_contact_asym_mig	Round_4_Replicate_2	-19217.23	38446.46	41984.58	127988.82	0.5224,1.0367,0.3128,0.3619,0.3095,0.1525
sec_contact_asym_mig	Round_4_Replicate_3	-19969.16	39950.32	44740.38	126668.1	0.4662,1.176,0.4043,0.0739,0.0101,0.448
sec_contact_asym_mig	Round_4_Replicate_4	-19217.9	38447.8	43103.92	122741.49	0.5548,1.1452,0.5652,0.4903,0.4121,0.0849
sec_contact_asym_mig	Round_4_Replicate_5	-19867.79	39747.58	44661.86	125602.21	0.5384,1.0979,0.18,0.2241,0.0167,0.4568
