Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-138811.76	277631.52	1900771.24	80551.75	3.4469,3.6129,0.3462,0.4994
sym_mig	Round_1_Replicate_2	-66827.84	133663.68	206735.56	120797.43	0.5105,3.3529,0.0514,0.2364
sym_mig	Round_1_Replicate_3	-92800.17	185608.34	258232.75	108893.51	0.464,1.9799,0.2221,0.555
sym_mig	Round_1_Replicate_4	-153713.8	307435.6	609213.93	77249.96	0.3878,3.0831,0.6974,1.913
sym_mig	Round_1_Replicate_5	-155532.71	311073.42	564314.38	121235.47	0.1881,2.0764,1.9848,1.9454
sym_mig	Round_1_Replicate_6	-89304.53	178617.06	322191.12	133704.82	0.3583,4.0127,0.2868,0.151
sym_mig	Round_1_Replicate_7	-133578.4	267164.8	408394.58	87284.36	0.4336,1.6745,0.3712,1.9299
sym_mig	Round_1_Replicate_8	-167913.37	335834.74	624978.9	86404.77	2.9234,0.3301,1.2086,1.9299
sym_mig	Round_1_Replicate_9	-45365.07	90738.14	122815.22	98202.52	2.2859,1.0893,0.1361,0.4674
sym_mig	Round_1_Replicate_10	-199677.72	399363.44	6500885.71	57051.24	3.0488,1.5281,1.98,1.98
sym_mig	Round_2_Replicate_1	-19161.31	38330.62	41874.03	136771.77	0.6674,0.7463,0.0493,0.2342
sym_mig	Round_2_Replicate_2	-25180.25	50368.5	66259.64	104255.83	1.3543,1.3652,0.0642,0.4289
sym_mig	Round_2_Replicate_3	-24223.6	48455.2	56674.35	139728.27	0.7617,0.6281,0.0248,0.1913
sym_mig	Round_2_Replicate_4	-46504.8	93017.6	133706.88	89299.31	1.0355,2.7147,0.1608,0.6208
sym_mig	Round_2_Replicate_5	-28488.87	56985.74	72153.05	101405.69	1.576,1.1578,0.1549,0.4884
sym_mig	Round_2_Replicate_6	-107411.32	214830.64	423694.63	68541.9	0.6251,3.0505,0.5557,1.9899
sym_mig	Round_2_Replicate_7	-38517.05	77042.1	86861.39	119792.78	0.9902,0.6533,0.2723,0.5128
sym_mig	Round_2_Replicate_8	-22715.22	45438.44	61312.08	105478.75	0.9874,1.4967,0.2526,0.473
sym_mig	Round_2_Replicate_9	-56602.38	113212.76	159710.85	111954.84	0.6194,2.8312,0.0225,0.3271
sym_mig	Round_2_Replicate_10	-114482.72	228973.44	497178.65	76090.07	2.6012,0.6041,1.092,1.8736
sym_mig	Round_3_Replicate_1	-18848.88	37705.76	43988.21	128925.7	0.8128,0.8688,0.012,0.265
sym_mig	Round_3_Replicate_2	-21802.98	43613.96	56572.4	118587.1	0.8598,1.3014,0.01,0.3126
sym_mig	Round_3_Replicate_3	-16938.56	33885.12	39213.31	123045.66	0.7994,0.9103,0.3621,0.3717
sym_mig	Round_3_Replicate_4	-18703.53	37415.06	43765.28	129331.68	0.7761,0.8975,0.0114,0.2619
sym_mig	Round_3_Replicate_5	-17802.11	35612.22	43603.01	113642.67	0.9221,1.0836,0.323,0.4449
sym_mig	Round_4_Replicate_1	-16935.32	33878.64	39087.16	123427.09	0.795,0.9006,0.3698,0.3705
sym_mig	Round_4_Replicate_2	-16935.29	33878.58	39109.08	123430.9	0.795,0.901,0.3702,0.3701
sym_mig	Round_4_Replicate_3	-16935.37	33878.74	39097.53	123467.83	0.7948,0.9009,0.3681,0.3695
sym_mig	Round_4_Replicate_4	-16935.27	33878.54	39101.35	123424.08	0.7949,0.9011,0.37,0.3703
sym_mig	Round_4_Replicate_5	-16935.27	33878.54	39100.81	123427.17	0.7949,0.9009,0.37,0.3703
