Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-122661.32	245332.64	403947.23	149771.61	0.2182,2.166,0.2928,1.9398,0.1333
asym_mig	Round_1_Replicate_2	-40762.08	81534.16	85257.25	167514.56	0.3758,0.2928,0.2202,0.1715,0.0996
asym_mig	Round_1_Replicate_3	-33576.68	67163.36	95688.79	91752.58	1.4909,0.9348,0.0577,1.3492,0.9709
asym_mig	Round_1_Replicate_4	-98392.81	196795.62	378587.03	80510.5	2.1086,0.6785,1.1809,0.7591,1.9398
asym_mig	Round_1_Replicate_5	-70258.86	140527.72	150380.24	161812.82	0.5242,0.3425,1.178,0.1154,0.328
asym_mig	Round_1_Replicate_6	-103634.77	207279.54	979372.79	109083.9	1.8307,1.376,1.9161,0.0582,0.3239
asym_mig	Round_1_Replicate_7	-155391.53	310793.06	2896582.48	57134.27	2.4286,1.9928,0.8104,1.9711,1.9518
asym_mig	Round_1_Replicate_8	-98609.4	197228.8	684720.08	52932.14	2.9943,2.8903,0.0638,0.9315,1.7846
asym_mig	Round_1_Replicate_9	-59281.27	118572.54	164900.2	151339.53	0.2676,1.0795,0.9168,0.1398,0.1128
asym_mig	Round_1_Replicate_10	-128813.1	257636.2	1491682.24	144991.99	0.4885,1.4141,0.9075,1.8125,0.0858
asym_mig	Round_2_Replicate_1	-33297.93	66605.86	93449.04	107794.56	0.9115,1.4684,0.0104,0.7323,0.4873
asym_mig	Round_2_Replicate_2	-38267.49	76544.98	104613.09	84107.41	1.5871,0.7501,0.0152,1.8082,1.9652
asym_mig	Round_2_Replicate_3	-67517.99	135045.98	176111.03	75952.63	2.4033,0.4134,0.0102,1.9739,1.9878
asym_mig	Round_2_Replicate_4	-33066.77	66143.54	68124.04	111571.29	1.0027,0.5192,0.1228,1.791,1.5009
asym_mig	Round_2_Replicate_5	-23010.57	46031.14	58134.21	105693.27	1.189,1.2951,0.0226,0.2007,0.4554
asym_mig	Round_2_Replicate_6	-21245.66	42501.32	53094.56	114436.24	0.9514,1.0962,0.0135,0.5851,0.4194
asym_mig	Round_2_Replicate_7	-53114.8	106239.6	151236.09	106145.82	2.1549,0.5619,0.0637,1.5769,0.4679
asym_mig	Round_2_Replicate_8	-57056.14	114122.28	242007.13	115192.71	0.8489,1.5586,0.0166,1.5445,0.3824
asym_mig	Round_2_Replicate_9	-22129.22	44268.44	53422.26	113279.98	1.2319,0.9221,0.0562,0.3422,0.4004
asym_mig	Round_2_Replicate_10	-19611.47	39232.94	42247.88	134457.77	0.7393,0.6769,0.0151,0.7826,0.2881
asym_mig	Round_3_Replicate_1	-18322.66	36655.32	42167.99	126694.85	0.8408,0.8349,0.013,0.4651,0.3111
asym_mig	Round_3_Replicate_2	-24696.23	49402.46	62831.09	107756.27	1.3886,0.9098,0.134,0.6108,0.4748
asym_mig	Round_3_Replicate_3	-16944.76	33899.52	39673.35	123136.13	0.8098,0.9084,0.3924,0.3476,0.365
asym_mig	Round_3_Replicate_4	-17373.89	34757.78	39696.43	129025.35	0.7116,0.8561,0.3909,0.3814,0.3179
asym_mig	Round_3_Replicate_5	-16726.71	33463.42	38649.75	124092.21	0.739,0.9465,0.5768,0.1687,0.3624
asym_mig	Round_4_Replicate_1	-16693.11	33396.22	38869.14	122647.83	0.7498,0.9609,0.584,0.2186,0.3819
asym_mig	Round_4_Replicate_2	-16779.46	33568.92	39603.25	122583.44	0.7479,0.9791,0.6543,0.1701,0.3755
asym_mig	Round_4_Replicate_3	-17352.02	34714.04	39944.6	127640.49	0.7276,0.9303,0.3991,0.01,0.3007
asym_mig	Round_4_Replicate_4	-16691.58	33393.16	38753.66	123014.14	0.7476,0.9524,0.5803,0.2222,0.3792
asym_mig	Round_4_Replicate_5	-16692.12	33394.24	38770.4	122906.46	0.7462,0.9543,0.5925,0.2212,0.3814
