Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m12,m21,T1,T2)
sec_contact_asym_mig	Round_1_Replicate_1	-183894.31	367800.62	546854.41	102395.91	1.7118,0.2795,0.1291,0.5897,0.253,0.8494
sec_contact_asym_mig	Round_1_Replicate_2	-159999.27	320010.54	1028004.73	91075.69	2.4587,0.7622,1.9706,0.1214,1.8432,1.9576
sec_contact_asym_mig	Round_1_Replicate_3	-399084.08	798180.16	2048513.05	79300.83	2.8903,0.1606,0.3428,0.4902,0.3671,1.7471
sec_contact_asym_mig	Round_1_Replicate_4	-68073.18	136158.36	240090.69	45750.78	2.8851,2.2669,0.1157,0.4319,1.9135,0.837
sec_contact_asym_mig	Round_1_Replicate_5	-563005.07	1126022.14	2543725.11	122261.46	0.2279,0.4968,0.1328,0.1403,1.7283,0.3962
sec_contact_asym_mig	Round_1_Replicate_6	-99345.77	198703.54	278308.3	123553.16	0.1886,1.721,1.9465,0.1853,0.1118,0.409
sec_contact_asym_mig	Round_1_Replicate_7	-618297.56	1236607.12	4224029.48	190508.85	0.2221,0.1726,1.1665,0.1793,1.0284,0.0925
sec_contact_asym_mig	Round_1_Replicate_8	-416939.49	833890.98	3141430.46	85439.84	2.9476,0.335,1.9576,0.2076,1.1696,0.0797
sec_contact_asym_mig	Round_1_Replicate_9	-34354.49	68720.98	66746.38	163441.2	0.3269,0.4609,0.1169,0.6655,0.0844,0.0672
sec_contact_asym_mig	Round_1_Replicate_10	-55424.91	110861.82	156828.53	65658.93	2.1277,2.7621,0.0755,0.127,0.0811,1.0234
sec_contact_asym_mig	Round_2_Replicate_1	-29039.16	58090.32	57827.15	154309.82	0.5479,0.406,0.3541,1.4451,0.0438,0.1978
sec_contact_asym_mig	Round_2_Replicate_2	-26152.85	52317.7	61429.54	142482.87	0.5904,0.6738,0.022,1.2429,0.0768,0.1402
sec_contact_asym_mig	Round_2_Replicate_3	-29836.69	59685.38	60940.04	158357.28	0.419,0.4501,0.1291,1.6644,0.1132,0.0217
sec_contact_asym_mig	Round_2_Replicate_4	-108312.24	216636.48	407780.95	153201.03	0.2299,1.7901,0.058,1.9283,0.0149,0.0744
sec_contact_asym_mig	Round_2_Replicate_5	-45148.99	90309.98	93282.33	172832.45	0.2957,0.2547,0.1055,0.6488,0.0271,0.0529
sec_contact_asym_mig	Round_2_Replicate_6	-60322.97	120657.94	133882.38	167050.46	0.2043,0.5696,0.2297,0.5211,0.0931,0.0263
sec_contact_asym_mig	Round_2_Replicate_7	-32227.94	64467.88	87662.65	125685.92	0.6268,1.3885,0.0531,0.4187,0.0762,0.1961
sec_contact_asym_mig	Round_2_Replicate_8	-39936.98	79885.96	76607.31	172427.77	0.2882,0.3359,0.2016,1.764,0.1051,0.0186
sec_contact_asym_mig	Round_2_Replicate_9	-22954.77	45921.54	59285.36	102136.77	1.2418,1.4081,0.1833,0.2536,0.3155,0.1714
sec_contact_asym_mig	Round_2_Replicate_10	-22472.61	44957.22	49368.19	136214.88	0.8237,0.5872,0.0534,0.5435,0.042,0.2128
sec_contact_asym_mig	Round_3_Replicate_1	-18336.74	36685.48	44691.28	114156.89	1.0139,0.9895,0.3259,0.5519,0.2431,0.1888
sec_contact_asym_mig	Round_3_Replicate_2	-17226.11	34464.22	38035.3	130598.4	0.6892,0.8271,0.4964,0.1665,0.0132,0.297
sec_contact_asym_mig	Round_3_Replicate_3	-17610.15	35232.3	40973.1	126271.45	0.7967,0.9156,0.1678,0.1545,0.01,0.2932
sec_contact_asym_mig	Round_3_Replicate_4	-20469.79	40951.58	50054.73	114233.65	1.1456,0.9172,0.0275,0.6129,0.114,0.2963
sec_contact_asym_mig	Round_3_Replicate_5	-18156.08	36324.16	41814.92	127445.26	0.8125,0.8792,0.019,0.3818,0.2099,0.0789
sec_contact_asym_mig	Round_4_Replicate_1	-17466.89	34945.78	42329.12	115952.43	0.9312,1.007,0.3726,0.3376,0.1267,0.2934
sec_contact_asym_mig	Round_4_Replicate_2	-16858.44	33728.88	39117.77	124004.62	0.7099,0.9756,0.7293,0.0946,0.0113,0.3554
sec_contact_asym_mig	Round_4_Replicate_3	-16810.68	33633.36	38112.75	126482.47	0.7295,0.8821,0.5295,0.2343,0.0106,0.3374
sec_contact_asym_mig	Round_4_Replicate_4	-19966.69	39945.38	49480.6	118564.06	1.0172,1.0466,0.0972,0.01,0.1682,0.1575
sec_contact_asym_mig	Round_4_Replicate_5	-16823.14	33658.28	38588.98	125118.08	0.7697,0.9119,0.5468,0.2995,0.2002,0.1397
