Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-48594.98	97195.96	105368.26	153369.14	0.4398,0.5167,0.2482
no_mig	Round_1_Replicate_2	-242098.11	484202.22	18850431.32	120566.01	3.0732,4.1336,0.1323
no_mig	Round_1_Replicate_3	-490007.47	980020.94	3328312.69	217506.94	0.1918,0.2465,0.4229
no_mig	Round_1_Replicate_4	-49769.67	99545.34	119032.79	138108.62	0.5771,0.6656,0.3354
no_mig	Round_1_Replicate_5	-159883.39	319772.78	3682603.4	104959.6	2.6922,3.844,0.2379
no_mig	Round_1_Replicate_6	-135188.89	270383.78	526042.28	77764.91	1.7622,1.3519,1.1038
no_mig	Round_1_Replicate_7	-31489.7	62985.4	63446.88	161707.07	0.352,0.4372,0.1132
no_mig	Round_1_Replicate_8	-915246.16	1830498.32	49403723.24	128821.24	0.2706,0.7283,1.2804
no_mig	Round_1_Replicate_9	-451422.21	902850.42	4259801.4	109609.35	0.9726,0.4938,1.1581
no_mig	Round_1_Replicate_10	-658718.39	1317442.78	13742093.1	110650.53	0.3923,0.9593,1.3417
no_mig	Round_2_Replicate_1	-39864.73	79735.46	79960.39	170851.18	0.2937,0.295,0.086
no_mig	Round_2_Replicate_2	-33015.54	66037.08	66245.4	163756.89	0.3705,0.3713,0.1104
no_mig	Round_2_Replicate_3	-27630.64	55267.28	55009.74	157159.44	0.4431,0.45,0.1495
no_mig	Round_2_Replicate_4	-18812.98	37631.96	44426.25	128772.35	0.7848,0.9167,0.2622
no_mig	Round_2_Replicate_5	-38822.83	77651.66	77595.21	169569.84	0.2699,0.3442,0.0868
no_mig	Round_2_Replicate_6	-22850.47	45706.94	57366.44	117919.16	1.165,0.9894,0.316
no_mig	Round_2_Replicate_7	-20939.75	41885.5	52310.77	116958.54	1.0512,1.0905,0.3327
no_mig	Round_2_Replicate_8	-28710.71	57427.42	83371.09	123546.69	0.7302,1.4768,0.2503
no_mig	Round_2_Replicate_9	-44464.22	88934.44	89604.92	175065.99	0.2975,0.2643,0.103
no_mig	Round_2_Replicate_10	-19391.57	38789.14	42795.22	136147.89	0.684,0.7559,0.2328
no_mig	Round_3_Replicate_1	-18795.74	37597.48	43933.19	129827.32	0.7703,0.891,0.2577
no_mig	Round_3_Replicate_2	-18795.74	37597.48	43933.04	129828.43	0.7703,0.8909,0.2577
no_mig	Round_3_Replicate_3	-18795.74	37597.48	43933.05	129828.18	0.7703,0.891,0.2577
no_mig	Round_3_Replicate_4	-18795.74	37597.48	43933.18	129827.89	0.7703,0.891,0.2577
no_mig	Round_3_Replicate_5	-18795.74	37597.48	43933.32	129828.29	0.7703,0.891,0.2577
no_mig	Round_4_Replicate_1	-18795.74	37597.48	43932.7	129829.02	0.7703,0.8909,0.2577
no_mig	Round_4_Replicate_2	-18795.74	37597.48	43933.5	129827.46	0.7703,0.891,0.2577
no_mig	Round_4_Replicate_3	-18795.74	37597.48	43933.63	129828.16	0.7703,0.891,0.2577
no_mig	Round_4_Replicate_4	-18795.74	37597.48	43932.93	129829.48	0.7702,0.8909,0.2577
no_mig	Round_4_Replicate_5	-18795.74	37597.48	43932.62	129830.21	0.7702,0.8909,0.2577
