Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m,T1,T2)
sec_contact_sym_mig	Round_1_Replicate_1	-318442.09	636894.18	860844.9	124368.11	0.5321,0.3335,0.1908,0.3342,1.9398
sec_contact_sym_mig	Round_1_Replicate_2	-387407.37	774824.74	1420996.57	190574.32	0.375,0.2002,0.1282,0.239,0.3486
sec_contact_sym_mig	Round_1_Replicate_3	-64856.83	129723.66	353794.0	98244.29	1.6941,2.7605,0.0498,0.1335,0.2273
sec_contact_sym_mig	Round_1_Replicate_4	-103453.21	206916.42	553466.31	88397.64	1.4496,0.6377,1.9214,0.1477,1.9598
sec_contact_sym_mig	Round_1_Replicate_5	-107766.07	215542.14	405234.1	60942.64	0.5459,2.8173,1.0105,1.9849,1.9005
sec_contact_sym_mig	Round_1_Replicate_6	-141873.2	283756.4	406440.38	120651.46	2.1768,0.2975,0.9594,0.3185,0.0915
sec_contact_sym_mig	Round_1_Replicate_7	-56203.48	112416.96	165282.93	88075.68	0.8479,2.6637,0.7166,0.6183,0.1095
sec_contact_sym_mig	Round_1_Replicate_8	-73849.11	147708.22	188966.35	112746.68	1.4985,0.4831,1.9398,0.5249,0.0756
sec_contact_sym_mig	Round_1_Replicate_9	-46039.18	92088.36	128244.7	78898.21	2.0303,1.1181,0.3681,0.0795,1.0258
sec_contact_sym_mig	Round_1_Replicate_10	-232091.14	464192.28	9763523.32	43401.73	2.9968,2.8926,1.7387,1.9851,0.7121
sec_contact_sym_mig	Round_2_Replicate_1	-24010.38	48030.76	67053.2	116745.0	0.8248,1.4278,0.1952,0.0897,0.2414
sec_contact_sym_mig	Round_2_Replicate_2	-31439.99	62889.98	95756.05	107242.77	0.9745,1.9266,0.1351,0.0848,0.292
sec_contact_sym_mig	Round_2_Replicate_3	-29261.7	58533.4	79596.47	86305.67	1.4487,1.7553,0.234,0.1266,0.6183
sec_contact_sym_mig	Round_2_Replicate_4	-53283.64	106577.28	162149.64	75592.09	0.7744,1.8266,0.5642,0.0509,1.9415
sec_contact_sym_mig	Round_2_Replicate_5	-58880.14	117770.28	283206.48	87416.65	1.8715,2.4364,0.2965,0.0116,0.5228
sec_contact_sym_mig	Round_2_Replicate_6	-33472.51	66955.02	87122.6	85214.34	1.3099,0.9922,0.4866,0.0105,1.3648
sec_contact_sym_mig	Round_2_Replicate_7	-39646.33	79302.66	76470.0	148361.62	0.4774,0.4336,1.2754,0.0353,1.9952
sec_contact_sym_mig	Round_2_Replicate_8	-67511.76	135033.52	310966.7	106311.55	0.6156,1.5672,1.4161,0.0643,0.6287
sec_contact_sym_mig	Round_2_Replicate_9	-48371.36	96752.72	172944.42	108358.06	2.0648,1.1107,0.1217,0.0747,0.2505
sec_contact_sym_mig	Round_2_Replicate_10	-19824.59	39659.18	50886.69	112702.77	1.0335,1.2126,0.1448,0.0675,0.3156
sec_contact_sym_mig	Round_3_Replicate_1	-18762.71	37535.42	44015.01	129803.75	0.755,0.9105,0.01,0.0501,0.2076
sec_contact_sym_mig	Round_3_Replicate_2	-16944.99	33899.98	39016.14	124240.26	0.7973,0.9088,0.4264,0.2072,0.1395
sec_contact_sym_mig	Round_3_Replicate_3	-18073.21	36156.42	41685.33	130364.93	0.7613,0.85,0.1216,0.0107,0.2563
sec_contact_sym_mig	Round_3_Replicate_4	-17186.91	34383.82	39984.68	126791.15	0.7641,0.8868,0.3227,0.0139,0.3072
sec_contact_sym_mig	Round_3_Replicate_5	-16926.6	33863.2	39060.35	123535.5	0.7946,0.9011,0.3696,0.0541,0.3139
sec_contact_sym_mig	Round_4_Replicate_1	-17080.96	34171.92	39540.95	124511.5	0.7918,0.918,0.2804,0.01,0.33
sec_contact_sym_mig	Round_4_Replicate_2	-16925.06	33860.12	39067.84	123373.94	0.7966,0.9014,0.3744,0.0605,0.3099
sec_contact_sym_mig	Round_4_Replicate_3	-16913.04	33836.08	38974.87	123786.3	0.7947,0.9053,0.3879,0.146,0.2139
sec_contact_sym_mig	Round_4_Replicate_4	-17047.84	34105.68	38648.1	125492.88	0.767,0.8838,0.3188,0.0163,0.3319
sec_contact_sym_mig	Round_4_Replicate_5	-16932.3	33874.6	39086.87	123465.7	0.7948,0.9007,0.37,0.0265,0.3432
