Skipping chr1:1-9898, already analyzed...
Skipping chr1:10399-14520, already analyzed...
Skipping chr1:15021-17109, already analyzed...
Skipping chr1:17610-21014, already analyzed...
Skipping chr1:21515-29830, already analyzed...
Skipping chr1:30331-37104, already analyzed...
Skipping chr1:37605-42397, already analyzed...
Skipping chr1:42898-46207, already analyzed...
Skipping chr1:46708-52868, already analyzed...
Skipping chr1:53369-57820, already analyzed...
Skipping chr1:58321-64871, already analyzed...
Skipping chr1:65372-68346, already analyzed...
Skipping chr1:68847-72118, already analyzed...
Skipping chr1:72619-75416, already analyzed...
Skipping chr1:75917-85449, already analyzed...
Skipping chr1:85950-90037, already analyzed...
Skipping chr1:90538-99961, already analyzed...
Skipping chr1:100462-105382, already analyzed...
Skipping chr1:105883-110931, already analyzed...
Skipping chr1:111432-117668, already analyzed...
Skipping chr1:118169-121573, already analyzed...
Skipping chr1:122074-131117, already analyzed...
Skipping chr1:131618-134545, already analyzed...
Skipping chr1:135046-143383, already analyzed...
Skipping chr1:143884-144819, already analyzed...
Skipping chr1:145320-147601, already analyzed...
Skipping chr1:148102-155632, already analyzed...
Skipping chr1:156133-159031, already analyzed...
Skipping chr1:159532-163375, already analyzed...
Skipping chr1:163876-168445, already analyzed...
Skipping chr1:168946-175405, already analyzed...
Skipping chr1:175906-180921, already analyzed...
Skipping chr1:181422-185701, already analyzed...
Skipping chr1:186202-193471, already analyzed...
Skipping chr1:193972-197543, already analyzed...
Skipping chr1:198044-201401, already analyzed...
Skipping chr1:201902-206852, already analyzed...
Skipping chr1:207353-210873, already analyzed...
Skipping chr1:211374-215232, already analyzed...
Skipping chr1:215733-218323, already analyzed...
Skipping chr1:218824-223005, already analyzed...
Skipping chr1:223506-228447, already analyzed...
Skipping chr1:228948-239278, already analyzed...
Skipping chr1:239779-245438, already analyzed...
Skipping chr1:245939-248503, already analyzed...
Skipping chr1:249004-253304, already analyzed...
Skipping chr1:253805-259968, already analyzed...
Skipping chr1:260469-265251, already analyzed...
Skipping chr1:265752-270048, already analyzed...
Skipping chr1:270549-275273, already analyzed...
Skipping chr1:275774-283165, already analyzed...
Skipping chr1:283666-287321, already analyzed...
Skipping chr1:287822-292774, already analyzed...
Skipping chr1:293275-297612, already analyzed...
Skipping chr1:298113-304074, already analyzed...
Skipping chr1:304575-310038, already analyzed...
Skipping chr1:310539-315800, already analyzed...
Skipping chr1:316301-321432, already analyzed...
Skipping chr1:321933-327846, already analyzed...
Skipping chr1:328347-333800, already analyzed...
Skipping chr1:334301-338761, already analyzed...
Skipping chr1:339262-341854, already analyzed...
Skipping chr1:342355-346767, already analyzed...
Skipping chr1:347268-353543, already analyzed...
Skipping chr1:354044-356043, already analyzed...
Skipping chr1:356544-362067, already analyzed...
Skipping chr1:362568-367138, already analyzed...
Skipping chr1:367639-370248, already analyzed...
Skipping chr1:370749-374337, already analyzed...
Skipping chr1:374838-377826, already analyzed...
Skipping chr1:378327-384867, already analyzed...
Skipping chr1:385368-390030, already analyzed...
Skipping chr1:390531-395859, already analyzed...
Skipping chr1:396360-401306, already analyzed...
Skipping chr1:401807-408464, already analyzed...
Skipping chr1:408965-419000, already analyzed...
Skipping chr1:419501-422922, already analyzed...
Skipping chr1:423423-427579, already analyzed...
Skipping chr1:428080-432084, already analyzed...
Skipping chr1:432585-435548, already analyzed...
Skipping chr1:436049-438002, already analyzed...
Skipping chr1:438503-442070, already analyzed...
Skipping chr1:442571-447253, already analyzed...
Skipping chr1:447754-452251, already analyzed...
Skipping chr1:452752-457391, already analyzed...
Skipping chr1:457892-461992, already analyzed...
Skipping chr1:462493-464307, already analyzed...
Skipping chr1:464808-465982, already analyzed...
Skipping chr1:466483-469476, already analyzed...
Skipping chr1:469977-474138, already analyzed...
Skipping chr1:474639-476523, already analyzed...
Skipping chr1:477024-478690, already analyzed...
Skipping chr1:479191-481355, already analyzed...
Skipping chr1:481856-486118, already analyzed...
Skipping chr1:486619-488092, already analyzed...
Skipping chr1:488593-495741, already analyzed...
Skipping chr1:496242-508491, already analyzed...
Skipping chr1:508992-509858, already analyzed...
Skipping chr1:510359-514071, already analyzed...
Skipping chr1:514572-519456, already analyzed...
Skipping chr1:519957-525012, already analyzed...
Skipping chr1:525513-533308, already analyzed...
Skipping chr1:533809-538764, already analyzed...
Skipping chr1:539265-542735, already analyzed...
