V1	V2	V3	dxy	siteswithdata
chr1:1-9898	1	9898	0.017759420694635	1030
chr1:10399-14520	10399	14520	0.0330222886628096	751
chr1:15021-17109	15021	17109	2.999994e-06	2
chr1:17610-21014	17610	21014	2.999994e-06	2
chr1:21515-29830	21515	29830	0.00680789742994287	4656
chr1:30331-37104	30331	37104	0.0102053283128085	4485
chr1:37605-42397	37605	42397	0.057415655516	2
chr1:42898-46207	42898	46207	0.0281709494327596	1901
chr1:46708-52868	46708	52868	0.00423048995449205	3898
chr1:53369-57820	53369	57820	0.0101074517697746	1269
chr1:58321-64871	58321	64871	0.0109877343818416	4356
chr1:65372-68346	65372	68346	0.0201002431932706	680
chr1:68847-72118	68847	72118	0.058393766433	2
chr1:72619-75416	72619	75416	0.058393766433	2
chr1:75917-85449	75917	85449	0.0162609512567435	2526
chr1:85950-90037	85950	90037	1.499999e-06	2
chr1:90538-99961	90538	99961	0.00376184739288539	7931
chr1:100462-105382	100462	105382	0.00914918175743372	2942
chr1:105883-110931	105883	110931	1.999998e-06	2
chr1:111432-117668	111432	117668	0.00559074887304846	2951
chr1:118169-121573	118169	121573	0.024900301194328	2122
chr1:122074-131117	122074	131117	0.0107262091998042	5730
chr1:131618-134545	131618	134545	1.499998e-06	2
chr1:135046-143383	135046	143383	0.00210823392657244	4783
chr1:143884-144819	143884	144819	0.0378060801240583	446
chr1:145320-147601	145320	147601	0.0281257558268082	1116
chr1:148102-155632	148102	155632	0.00531912882618666	2968
chr1:156133-159031	156133	159031	0.0236632210417941	1020
chr1:159532-163375	159532	163375	0.0486609279399708	411
chr1:163876-168445	163876	168445	0.00822361237067813	2675
chr1:168946-175405	168946	175405	0.00122741013728733	4681
chr1:175906-180921	175906	180921	0.0043592149941763	2371
chr1:181422-185701	181422	185701	0.00672616057748875	3243
chr1:186202-193471	186202	193471	0.00575384878684271	1386
chr1:193972-197543	193972	197543	0.00598554528572309	2044
chr1:198044-201401	198044	201401	3.999993e-06	2
chr1:201902-206852	201902	206852	0.00508500095398918	3327
chr1:207353-210873	207353	210873	0.00619824775841593	2587
chr1:211374-215232	211374	215232	0.014407426920432	1361
chr1:215733-218323	215733	218323	4.999988e-06	2
chr1:218824-223005	218824	223005	4.999988e-06	2
chr1:223506-228447	223506	228447	0.00563886626864027	3889
chr1:228948-239278	228948	239278	0.0051652008183801	2915
chr1:239779-245438	239779	245438	0.00744292265631408	1108
chr1:245939-248503	245939	248503	0.0462961961773752	829
chr1:249004-253304	249004	253304	0.00815374135577867	1491
chr1:253805-259968	253805	259968	0.00880214168051897	5218
chr1:260469-265251	260469	265251	4.499989e-06	2
chr1:265752-270048	265752	270048	0.0263379260956642	2150
chr1:270549-275273	270549	275273	0.00188322052392012	2679
chr1:275774-283165	275774	283165	0.0138668565082504	4704
chr1:283666-287321	283666	287321	0.00623932960153257	2717
chr1:287822-292774	287822	292774	0.00863217658273795	1515
chr1:293275-297612	293275	297612	0.0112364283910022	1794
chr1:298113-304074	298113	304074	0.0292714651040696	230
chr1:304575-310038	304575	310038	0.011684846585701	3986
chr1:310539-315800	310539	315800	0.0176672825938912	1232
chr1:316301-321432	316301	321432	0.0148981342264207	3047
chr1:321933-327846	321933	327846	0.00351211493318811	3466
chr1:328347-333800	328347	333800	1.999997e-06	2
chr1:334301-338761	334301	338761	0.0194071849038958	403
chr1:339262-341854	339262	341854	1.999998e-06	2
chr1:342355-346767	342355	346767	0.0453514744626562	829
chr1:347268-353543	347268	353543	0.185117129767	2
chr1:354044-356043	354044	356043	0.185117129767	2
chr1:356544-362067	356544	362067	0.0100590564887818	2154
chr1:362568-367138	362568	367138	0.0151298237624994	3116
chr1:367639-370248	367639	370248	0.0195550793883428	1552
chr1:370749-374337	370749	374337	0.0116407684491749	1258
chr1:374838-377826	374838	377826	1.999998e-06	2
chr1:378327-384867	378327	384867	0.0068484700804571	4021
chr1:385368-390030	385368	390030	2.999996e-06	2
chr1:390531-395859	390531	395859	0.00638869474457356	2549
chr1:396360-401306	396360	401306	0.0166839389296696	2300
chr1:401807-408464	401807	408464	0.00821370471147394	2456
chr1:408965-419000	408965	419000	0.00435527149199812	7459
chr1:419501-422922	419501	422922	3.499994e-06	2
chr1:423423-427579	423423	427579	0.0140111396070587	2590
chr1:428080-432084	428080	432084	0.0020269065284748	2936
chr1:432585-435548	432585	435548	3.499988e-06	2
chr1:436049-438002	436049	438002	3.499988e-06	2
chr1:438503-442070	438503	442070	0.0357960080765543	1703
chr1:442571-447253	442571	447253	0.0117329560052456	456
chr1:447754-452251	447754	452251	0.00804200407934129	2010
chr1:452752-457391	452752	457391	0.00642640201614714	2868
chr1:457892-461992	457892	461992	0.0269867033794738	1984
chr1:462493-464307	462493	464307	3.999993e-06	2
chr1:464808-465982	464808	465982	0.0061343679285	128
chr1:466483-469476	466483	469476	0.0146654706702692	52
chr1:469977-474138	469977	474138	0.0107043192159116	2353
chr1:474639-476523	474639	476523	0.0265217920532378	593
chr1:477024-478690	477024	478690	2.999994e-06	2
chr1:479191-481355	479191	481355	2.999994e-06	2
chr1:481856-486118	481856	486118	0.0293179404491438	2427
chr1:486619-488092	486619	488092	0.00216183846633514	370
chr1:488593-495741	488593	495741	0.00491645286794641	3284
chr1:496242-508491	496242	508491	0.00450490082136177	2579
chr1:508992-509858	508992	509858	0.01847710688598	400
chr1:510359-514071	510359	514071	0.0241587429073289	2095
chr1:514572-519456	514572	519456	0.018686016224689	1222
chr1:519957-525012	519957	525012	0.00318710090928751	3666
chr1:525513-533308	525513	533308	0.00593188004141378	3787
chr1:533809-538764	533809	538764	0.0250169115635854	3555
chr1:539265-542735	539265	542735	0.0100434716775045	1881
chr1:543236-548448	543236	548448	0.0136074180851298	4107
chr1:548949-559487	548949	559487	0.00593165547322997	5166
chr1:559988-562391	559988	562391	0.00904372543148571	1540
chr1:562892-565860	562892	565860	0.00700939749031918	1861
chr1:566361-574087	566361	574087	0.013062362110322	7044
chr1:574588-582941	574588	582941	0.00848691357755501	5263
chr1:583442-587764	583442	587764	0.0126022160687124	3189
chr1:588265-595900	588265	595900	0.0301714822164334	5528
chr1:596401-620677	596401	620677	0.00616707992784715	9539
chr1:621178-623756	621178	623756	0.0135018499911831	1256
chr1:624257-625823	624257	625823	0.00637891677952756	127
