V1	V2	V3	dxy	siteswithdata
chr1:1-9898	1	9898	0.0136606909829833	3169
chr1:10399-14520	10399	14520	0.0111587408909584	3794
chr1:15021-17109	15021	17109	2.499997e-06	2
chr1:17610-21014	17610	21014	2.499997e-06	2
chr1:21515-29830	21515	29830	0.00436630039283604	5227
chr1:30331-37104	30331	37104	0.0135336822615934	4786
chr1:37605-42397	37605	42397	0.078278999999	2
chr1:42898-46207	42898	46207	0.0216806059314606	2399
chr1:46708-52868	46708	52868	0.00359941749793711	3880
chr1:53369-57820	53369	57820	0.00820626715498356	1277
chr1:58321-64871	58321	64871	0.0122100116737638	4276
chr1:65372-68346	65372	68346	0.0220028202137956	1693
chr1:68847-72118	68847	72118	1.5e-06	2
chr1:72619-75416	72619	75416	1.5e-06	2
chr1:75917-85449	75917	85449	0.0156922541840523	5316
chr1:85950-90037	85950	90037	1.999998e-06	2
chr1:90538-99961	90538	99961	0.00232352849203186	8097
chr1:100462-105382	100462	105382	0.0119866644002588	3509
chr1:105883-110931	105883	110931	4.499992e-06	2
chr1:111432-117668	111432	117668	0.00671486077564411	4063
chr1:118169-121573	118169	121573	0.0199849820668729	2172
chr1:122074-131117	122074	131117	0.0109864787653045	5869
chr1:131618-134545	131618	134545	1e-06	2
chr1:135046-143383	135046	143383	0.00248102568546234	5829
chr1:143884-144819	143884	144819	0.0223114365974709	412
chr1:145320-147601	145320	147601	0.0288959227120953	1091
chr1:148102-155632	148102	155632	0.00340138543784566	3123
chr1:156133-159031	156133	159031	0.0191381436879351	1387
chr1:159532-163375	159532	163375	0.0258043868615433	762
chr1:163876-168445	163876	168445	0.00849411836355539	2663
chr1:168946-175405	168946	175405	0.00087503572068285	5067
chr1:175906-180921	175906	180921	0.00355371038300119	2527
chr1:181422-185701	181422	185701	0.00424349421543407	3117
chr1:186202-193471	186202	193471	0.00929622961883426	2522
chr1:193972-197543	193972	197543	0.00522630893387992	2415
chr1:198044-201401	198044	201401	3.499993e-06	2
chr1:201902-206852	201902	206852	0.00286361149402499	3601
chr1:207353-210873	207353	210873	0.00555034792383687	2636
chr1:211374-215232	211374	215232	0.0107247242741604	1534
chr1:215733-218323	215733	218323	9.99999e-07	2
chr1:218824-223005	218824	223005	9.99999e-07	2
chr1:223506-228447	223506	228447	0.00602302201692119	3578
chr1:228948-239278	228948	239278	0.00331167991602629	4032
chr1:239779-245438	239779	245438	0.00553064633594337	1660
chr1:245939-248503	245939	248503	0.0360518350267046	948
chr1:249004-253304	249004	253304	0.00759964228377942	2303
chr1:253805-259968	253805	259968	0.00643839242881308	5505
chr1:260469-265251	260469	265251	2.499996e-06	2
chr1:265752-270048	265752	270048	0.0168349167995592	2450
chr1:270549-275273	270549	275273	0.00294410068296662	2756
chr1:275774-283165	275774	283165	0.0105660287987813	5163
chr1:283666-287321	283666	287321	0.00533245525864352	3254
chr1:287822-292774	287822	292774	0.010720211041634	2792
chr1:293275-297612	293275	297612	0.00974149754558204	2718
chr1:298113-304074	298113	304074	0.0181984365260242	1487
chr1:304575-310038	304575	310038	0.00889661016944661	4467
chr1:310539-315800	310539	315800	0.0167175190212861	1622
chr1:316301-321432	316301	321432	0.0126794513669607	3489
chr1:321933-327846	321933	327846	0.00436123311550443	3612
